ano,uc,day,type
1º ano,PF,2025-10-22,Teste
1º ano,TFM,2025-11-5,Teste
1º ano,LP-I,2025-11-9,Entrega - (1ªParte)
1º ano,Cálculo,2025-11-8,Teste
1º ano,Álgebra Linear CC,2025-11-19,Teste
1º ano,Cálculo,2025-12-16,Teste
1º ano,Álgebra Linear CC,2025-12-19,Teste
1º ano,LP-I,2025-12-31,Entrega - (2ªParte)
1º ano,PF,2026-1-6,Teste
1º ano,TFM,2026-1-9,Teste
2º ano,Lógica CC,2025-11-3,Teste
2º ano,Álgebra,2025-11-6,Teste
2º ano,Análise Numérica,2025-11-11,Teste
2º ano,AeC,2025-11-15,Teste
2º ano,Álgebra,2025-12-18,Teste
2º ano,SCR,2026-1-5,Teste
2º ano,Análise Numérica,2026-1-7,Teste
2º ano,Lógica CC,2026-1-8,Teste
2º ano,AeC,2026-1-10,Teste
3º ano,PA,2025-10-28,Teste
3º ano,CP,2025-10-25,Teste
3º ano,CC,2025-11-5,Teste
3º ano,LC,2025-11-10,Entrega
3º ano,TNC,2025-11-10,Mini-Teste
3º ano,Estatística,2025-11-07,Teste
3º ano,LC,2025-12-08,Entrega
3º ano,Estatística,2025-12-12,Teste
3º ano,PLC,2025-12-16,Teste
3º ano,PA,2025-12-17,Teste
3º ano,CP,2025-12-20,Teste
3º ano,LC,2026-1-5,Teste
3º ano,TNC,2026-1-7,Teste
3º ano,CC,2026-1-9,Teste
3º ano,TNC,2026-1-12,Mini-Teste
3º ano,PLC,2026-1-17,Entrega
